  id    ra_pix    dec_pix    major    minor    pa  ra_hms     dec_dms        maj_as    min_as    vmin_kms    vmax_kms    collide    v1    v2    v_ang  good    date
  68      1793        985       26       23     0  0:40:50.2  +40:32:00.4       205       205        -525        -465          0  -520  -470       98  pv      250414-1537
  69      1566        986       30       23   160  0:42:15.8  +40:33:13.7       180       130        -380        -340          0  -375  -350      188  pp      250430-1800
  70      2062        990       27       27     0  0:38:38.2  +40:33:17.4       150       150        -500        -450          0  -494  -457       38  vv      250430-1800
  71      1974        997       25       17   120  0:39:16.7  +40:33:57.2       125        85        -550        -500          0  -541  -517      188  nn      250430-1800
  72      1745       1001       20       15     0  0:40:53.0  +40:34:45.8       180       180        -600        -400          0  -530  -465      128  nn      250430-1801
  73      1799       1002       17       12    90  0:40:31.5  +40:34:29.3       120       100        -580        -545          0  -577  -548       38  pv      250414-1553
  74      1650       1008       25       24    90  0:41:34.9  +40:35:22.8       135       120        -500        -440          0  -500  -445      158  pv      250414-1559
  75      2078       1012       21       18     0  0:38:31.0  +40:35:06.4       105        90        -488        -450          0  -488  -450       38  nn      250414-1605
  76      2007       1020       17       14    95  0:39:04.2  +40:35:50.5        85        70        -550        -490          0  -530  -505       68  nn      250430-1801
  77      1695       1029       19       15   150  0:41:19.1  +40:36:47.0       110        90        -530        -410          0  -510  -435       98  nn      250430-1802
  78      1526       1031       31       26    90  0:42:33.3  +40:36:58.9       155       130        -385        -350          0  -380  -353      158  vv      250430-1802
  79      1759       1039       25       22     0  0:40:53.0  +40:33:05.4       170       170        -550        -450          0  -538  -470       98  vv      250430-1805
  80      2112       1057       29       23     0  0:38:15.9  +40:38:49.3       145       145        -450        -400          0  -440  -400      188  pv      250414-1621
  81      1996       1065       41       33   100  0:39:10.8  +40:38:40.0       205       165        -483        -415          0  -480  -425       68  pv      250417-1617
  82      1609       1072       19       19     0  0:41:55.8  +40:40:13.3        67        67        -435        -390          0  -425  -400      158  pv      250430-1806
  83      1691       1073       31       29    90  0:41:20.8  +40:40:27.1       180       180        -500        -410          0  -485  -434      128  pv      250417-1641
  84      1907       1080       18       18     0  0:39:45.8  +40:40:55.3       120       120        -514        -485          0  -510  -495      158  vv      250417-1646
  85      2043       1097       25       20    90  0:38:46.0  +40:42:13.5       125       100        -418        -390          0  -418  -390       38  nn      250417-1651
  86      1950       1105       18       14   110  0:39:25.0  +40:42:58.3       150       100        -505        -450          0  -495  -460      128  pv      250417-1655
  87      1560       1108       47       30    90  0:42:18.4  +40:43:23.8       300       210        -435        -365          0  -420  -384       38  pv      250418-1238
  88      1445       1111       30       27     0  0:43:10.9  +40:43:38.8       180       150        -348        -310          0  -338  -322      188  vv      250430-1806
