id  ra_pix dec_pix major minor pa  ra_hms    dec_dms     maj_as min_as vmin_kms vmax_kms collide v1   v2   v_ang good date        center_vel expansion_vel radius_pc r_kpc   R_kpc   alpha_deg N_HI_cm2    h_pc    n_HI_cm3 dot_e_bubble SN_num   M_sweep_g  p_rad_cgs  p_perSN_cgs turb_v_min_kms turb_v_max_kms SN_weaver SN_chevalier SN_hybrid SN_weaver_original n_HI_center_cm-3 n_HI_ellipse_cm-3 n_HI_ring_cm-3
41  1892   1206    39    38    90  0:39:42.5 +40:52:05.9 120    120    -460     -415     0       -456 -424 98    pv   250418-1420 -440       16            432       14.1713 12.7632 110.451   2.83063e+21 386.211 0.274787 8.1114e-28   27.4932  5.8579e+39 9.3727e+45 3.4091e+44  18.432         20.2764        54.9864   101.025      54.9864   27.4932            0.193512         0.172502          0.154196      
42  1557   1207    14    11    0   0:42:22.0 +40:51:52.8 120    120    -405     -350     0       -400 -363 38    pv   250418-1424 -381.5     18.5          432       13.7446 13.4949 48.5738   2.92294e+21 397.919 0.275399 1.2197e-27   36.8379  5.871e+39  1.0861e+46 2.9484e+44  16.6943        17.7364        73.6758   124.103      73.6758   36.8379            0.193943         0.19574           0.187845      
43  1817   1209    30    29    0   0:40:25.0 +40:51:43.7 170    170    -518     -465     0       -510 -480 158   pv   250418-1427 -495       15            612       8.79831 8.85974 101.719   2.73216e+21 323.756 0.316392 9.1801e-28   79.1045  1.9177e+40 2.8765e+46 3.6364e+44  17.71          24.6955        158.209   320.421      158.209   79.1045            0.222812         0.217447          0.198881      
44  1607   1212    26    21    90  0:41:53.6 +40:51:13.4 180    140    -480     -380     0       -465 -410 158   pv   250502-1759 -437.5     27.5          648       10.5521 10.4014 60.2419   1.93337e+21 348.423 0.208039 3.4562e-27   207.527  1.4968e+40 4.1162e+46 1.9835e+44  25.7968        31.0484        415.054   559.471      415.054   207.527            0.146507         0.165455          0.172521      
45  1783   1214    18    18    0   0:40:39.0 +40:51:39.8 90     90     -573     -531     0       -571 -542 68    pv   250418-1439 -556.5     14.5          324       7.52534 7.52613 97.3192   2.7971e+21  302.418 0.346767 9.7297e-28   12.0212  3.1187e+39 4.5221e+45 3.7618e+44  18.8145        21.6013        24.0424   46.5515      24.0424   12.0212            0.244202         0.241542          0.207428      
46  1974   1223    24    16    90  0:39:16.8 +40:52:47.2 150    120    -403     -360     0       -395 -370 38    pv   250502-1801 -382.5     12.5          540       18.1697 18.3993 119.784   1.07661e+21 476.389 0.08473  9.6687e-29   10.1059  3.5279e+39 4.4098e+45 4.3636e+44  24.5503        38.7835        20.2118   38.4079      20.2118   10.1059            0.0596688        0.0611691         0.0653249     
47  1940   1231    21    19    90  0:39:30.7 +40:53:28.8 115    98     -460     -420     0       -455 -425 158   pv   250502-1801 -440       15            414       16.4404 16.5406 118.155   1.69515e+21 446.65  0.142291 2.9926e-28   11.0129  2.6698e+39 4.0047e+45 3.6364e+44  15.2265        18.4917        22.0258   38.6726      22.0258   11.0129            0.100205         0.107214          0.0999786     
48  1518   1232    14    12    45  0:42:36.8 +40:53:44.0 90     90     -410     -355     0       -405 -365 188   pv   250420-1554 -385       20            324       14.6311 14.5156 40.3838   2.09871e+21 414.25  0.189945 1.021e-27    12.5274  1.7083e+39 3.4166e+45 2.7273e+44  17.2815        20.835         25.0548   37.2119      25.0548   12.5274            0.133764         0.146921          0.162672      
49  1632   1245    19    18    90  0:41:50.0 +40:55:05.1 120    120    -505     -450     0       -497 -454 158   pv   250420-1559 -475.5     21.5          432       7.80717 7.49935 69.5374   1.72256e+21 301.99  0.213855 1.9589e-27   38.6354  4.559e+39  9.8018e+45 2.537e+44   18.8145        21.6013        77.2708   115.381      77.2708   38.6354            0.150602         0.148149          0.118642      
50  1812   1250    15    13    0   0:40:27.1 +40:55:08.9 90     90     -510     -470     0       -502 -475 158   pv   250420-1602 -488.5     13.5          324       9.39902 9.47919 107.278   2.96949e+21 333.667 0.333661 6.8479e-28   10.0264  3.0008e+39 4.0511e+45 4.0404e+44  21.5478        26.2357        20.0528   40.3409      20.0528   10.0264            0.234973         0.228571          0.218024      
