3123 12.061637 42.152138 18.901 0.021 19.171 0.014 0.01   175.5   1.8   1.4   2.4  8.6e+01  1.0e+02  8.6e+01 -99.0 -99.0   1.5 -9.9e+01 -9.9e+01  6.6e+01
3124 11.214877 42.160213 19.038 0.022 19.284 0.015 0.19   168.8   2.5   1.8   3.5  2.6e+02  3.0e+02  3.8e+02   1.6   1.1   2.1  2.4e+02  3.2e+02  2.4e+02
3125 11.627251 42.164742 19.901 0.037 19.647 0.019 0.24   117.0 124.2 104.5 143.9  2.2e+04  2.2e+04  2.2e+04  74.2  63.1  87.1  1.8e+04  1.4e+04  2.8e+04
3126 11.463932 42.170967 17.225 0.010 17.319 0.006 0.33   810.0   9.7   8.7  11.3  2.2e+04  2.0e+04  2.2e+04   3.8   3.6   4.1  7.4e+03  7.4e+03  7.4e+03
3127 11.439690 42.169178 19.373 0.027 19.398 0.016 0.21   150.8  25.9  18.5  37.2  5.2e+03  3.2e+03  7.1e+03   7.0   5.6   9.2  9.8e+02  6.8e+02  1.4e+03
3128 11.635859 42.204147 13.984 0.002 13.893 0.001 0.26 15097.5  58.3  57.4  59.3  2.6e+06  2.6e+06  2.6e+06  22.4  21.5  23.2  8.6e+05  8.6e+05  8.6e+05
3129 11.455505 42.174694 19.124 0.024 19.188 0.015 0.32   177.8  14.2  10.2  18.3  3.7e+03  3.7e+03  9.0e+03   4.7   3.9   5.6  1.2e+03  1.2e+03  1.9e+03
3130 11.650320 42.176018 20.450 0.056 20.736 0.042 0.35   121.5   1.3 -99.0   2.7  3.2e+02 -9.9e+01  2.3e+02 -99.0 -99.0   1.7 -9.9e+01 -9.9e+01  2.1e+02
3131 11.615754 42.175747 19.049 0.024 18.896 0.013 0.22   173.2  82.7  74.0  92.1  2.8e+04  2.4e+04  3.2e+04  50.8  42.3  56.5  2.0e+04  1.5e+04  2.6e+04
3132 11.706421 42.176128 19.608 0.030 19.617 0.018 0.23   128.2  29.5  19.9  42.0  5.0e+03  3.0e+03  6.6e+03   7.8   6.0  11.2  1.1e+03  6.4e+02  1.5e+03
3133 11.675343 42.181042 18.684 0.020 18.405 0.010 0.28   261.0 131.3 120.7 141.9  8.9e+04  8.9e+04  8.9e+04  79.1  72.3  86.2  9.6e+04  7.7e+04  1.2e+05
3134 11.662731 42.184391 18.748 0.024 18.873 0.016 0.14   510.8   9.6   7.2  13.5  1.3e+03  7.9e+02  1.3e+03   3.7   3.1   4.5  4.3e+02  3.0e+02  4.3e+02
3135 11.583273 42.183353 19.545 0.029 19.657 0.018 0.12   126.0  11.3   7.8  16.4  5.4e+02  4.0e+02  1.3e+03   4.0   3.3   5.0  1.8e+02  1.2e+02  1.8e+02
3136 11.524472 42.183285 19.869 0.035 19.766 0.019 0.20   114.8  67.0  50.9  80.6  9.2e+03  6.0e+03  1.1e+04  31.9  18.2  49.0  4.0e+03  2.4e+03  8.2e+03
3137 11.515063 42.187683 18.676 0.020 18.482 0.011 0.31   389.2  89.7  82.1  98.7  9.2e+04  7.8e+04  1.1e+05  55.2  50.5  60.0  7.4e+04  5.8e+04  7.4e+04
3138 11.484640 42.186432 17.387 0.010 17.276 0.006 0.20   459.0  70.0  65.7  73.9  9.1e+04  9.1e+04  9.1e+04  37.2  29.7  42.4  5.9e+04  4.0e+04  5.9e+04
3139 11.678541 42.187084 19.445 0.030 19.579 0.019 0.33   193.5   6.7   4.7   9.3  1.7e+03  1.1e+03  2.6e+03   3.0   2.5   3.7  6.5e+02  4.9e+02  9.4e+02
