alpha	r	x1_mom0	x1_mom1	x1_mom2	x2_mom0	x2_mom1	x2_mom2	x3_mom0	x3_mom1	x3_mom2
180	36180	0.030285	-294.051	6.27157	0.164125	-290.962	4.7934	0.164125	-290.962	4.7934
180	36396	0.02989	-294.35	6.26475	0.17907	-287.264	5.0938	0.17907	-287.264	5.0938
180	36612	0.033125	-295.395	5.87463	0.1771	-289.05	4.94874	0.1771	-289.05	4.94874
180	36828	0.04305	-294.996	5.93396	0.17347	-287.636	4.89084	0.17347	-287.636	4.89084
180	37044	0.05201	-293.375	5.84161	0.172825	-287.771	4.8909	0.172825	-287.771	4.8909
180	37260	0.049225	-292.981	5.8011	0.175045	-288.582	5.088	0.175045	-288.582	5.088
180	37476	0.03699	-292.627	5.50628	0.1821	-288.175	5.46933	0.1821	-288.175	5.46933
180	37692	0.02872	-293.141	5.00442	0.17988	-289.516	5.36451	0.17988	-289.516	5.36451
180	37908	0.023245	-293.288	4.71351	0.16176	-296.141	5.11158	0.16176	-296.141	5.11158
180	38124	0.02114	-295.705	5.51929	0.1578	-302.152	5.21502	0.1578	-302.152	5.21502
180	38340	0.023595	-297.8	5.3636	0.17944	-297.076	5.40871	0.17944	-297.076	5.40871
180	38556	0.02238	-297.317	4.72367	0.19805	-293.646	5.41759	0.19805	-293.646	5.41759
180	38772	0.0178	-297.189	4.50675	0.1999	-297.934	5.30439	0.1999	-297.934	5.30439
180	38988	0.01513	-296.835	4.10997	0.20174	-297.497	5.47209	0.20174	-297.497	5.47209
180	39204	0.014275	-295.777	4.21085	0.21219	-293.365	5.79224	0.21219	-293.365	5.79224
180	39420	0.015275	-292.518	4.24822	0.20291	-295.338	5.64596	0.20291	-295.338	5.64596
180	39636	0.015065	-300.353	4.32082	0.20122	-293.813	5.45619	0.20122	-293.813	5.45619
180	39852	0.013465	-317.169	4.14067	0.19442	-291.418	5.52626	0.19442	-291.418	5.52626
180	40068	0.01569	-322.638	3.97532	0.191495	-292.686	5.64598	0.191495	-292.686	5.64598
180	40284	0.01515	-352.11	4.31702	0.19966	-288.139	5.83718	0.19966	-288.139	5.83718
180	40500	0.01531	-355.789	4.31785	0.20251	-287.422	5.89028	0.20251	-287.422	5.89028
180	40716	0.01242	-363.92	4.31137	0.200725	-298.914	5.66317	0.200725	-298.914	5.66317
180	40932	0.01588	-379.924	4.07921	0.21368	-301.447	6.04464	0.21368	-301.447	6.04464
180	41148	0.01453	-386.836	3.78281	0.221085	-322.762	6.13477	0.221085	-322.762	6.13477
180	41364	0.01367	-321.131	4.02789	0.232575	-323.321	6.06413	0.232575	-323.321	6.06413
180	41580	0.0163	-297.964	4.01707	0.23764	-299.519	5.68268	0.23764	-299.519	5.68268
180	41796	0.01623	-327.323	3.76065	0.24444	-301.3	5.62183	0.24444	-301.3	5.62183
