alpha           r               x1_mom0         x1_mom1         x1_mom2         x2_mom0         x2_mom1         x2_mom2         x3_mom0         x3_mom1         x3_mom2         
   179.18515     18799.75391         0.38672      -508.86826        34.54135         0.08490      -467.55963         6.38168         0.08490      -467.55963         6.38168    
   179.26174     19013.25195         0.45968      -511.31021        31.26310         0.09949      -472.48386         3.93748         0.09949      -472.48386         3.93748    
   179.22374     19234.98438         0.47331      -513.79968        27.74145         0.06347      -479.55441    NaN                  0.06347      -479.55441    NaN             
   179.29817     19448.64258         0.55009      -518.28143        24.93026         0.10502      -554.64111         3.92667         0.10502      -554.64111         3.92667    
   179.37097     19662.61523         0.63016      -518.77606        22.95783         0.12814      -551.98090         6.43738         0.12814      -551.98090         6.43738    
   179.33301     19884.10742         0.86954      -517.16608        23.81057         0.28529      -541.93585        11.18316         0.28529      -541.93585        11.18316    
   179.40385     20098.22266         1.19947      -517.92621        20.88844         0.86172      -527.72803        13.11298         0.86172      -527.72803        13.11298    
   179.36635     20319.64062         1.49356      -519.18030        18.84554         1.38304      -526.61664        12.84816         1.38304      -526.61664        12.84816    
   179.43533     20533.89258         1.33446      -519.35162        16.92608         0.86216      -526.22589        13.59662         0.86216      -526.22589        13.59662    
   179.44353     20739.33594         1.24392      -517.84827        15.77344         0.46747      -522.35968        12.04645         0.46747      -522.35968        12.04645    
   179.46550     20969.62109         1.23488      -516.47699        13.24533         0.47089      -514.40417         5.44539         0.47089      -514.40417         5.44539    
   179.47324     21175.08008         1.10637      -514.96295        12.63556         0.23681      -510.33527         3.71443         0.23681      -510.33527         3.71443    
   179.49444     21405.40430         1.11967      -513.01556        14.33951         0.25257      -511.59799         4.22586         0.25257      -511.59799         4.22586    
   179.50175     21610.87695         1.28559      -511.51114        15.81578         0.55093      -511.80505    NaN                  0.55093      -511.80505    NaN             
   179.56529     21825.68164         1.31349      -512.20166        14.76576         0.64256      -513.37854    NaN                  0.64256      -513.37854    NaN             
   179.52912     22046.72461         1.13535      -511.65973        16.49031         0.19004      -474.58514         2.54788         0.19004      -474.58514         2.54788    
   179.59115     22261.63867         0.99188      -512.49469        17.54823         0.18366      -471.06702         7.03456         0.18366      -471.06702         7.03456    
   179.55544     22482.61914         0.96001      -513.68286        15.83231         0.17609      -475.22281         6.13029         0.17609      -475.22281         6.13029    
   179.61602     22697.63867         0.96515      -514.10797        15.86058         0.28573      -476.02405         8.20851         0.28573      -476.02405         8.20851    
   179.62183     22903.16211         0.99503      -513.74304        14.76811         0.26759      -478.96768         4.80276         0.26759      -478.96768         4.80276    
   179.63996     23133.67773         1.11749      -512.89728        16.55792         0.47436      -476.60498         5.38355         0.47436      -476.60498         5.38355    
   179.64544     23339.21289         1.48235      -514.83673        18.15272         0.67079      -477.98099         8.47762         0.67079      -477.98099         8.47762    
